"gene_symbols"	"SRR10446596"	"SRR10446599"	"SRR10446602"	"SRR10446605"	"SRR10446608"	"SRR10446611"
"N_unmapped"	"NA"	2087224	3289236	7543285	5456646	2821801	2810079
"N_multimapping"	"NA"	1113860	2298945	4839148	5575971	2381962	2450348
"N_noFeature"	"NA"	15119175	21899169	36717806	9845759	18546744	23418363
"N_ambiguous"	"NA"	901861	1785488	2388638	1228237	1444059	1228913
"ENSG00000142611"	"PRDM16"	9	24	11	6	15	5
"ENSG00000284616"	"NA"	0	0	1	0	0	0
"ENSG00000157911"	"PEX10"	31	84	46	72	46	15
"ENSG00000260972"	"NA"	6	1	0	0	2	2
"ENSG00000224340"	"RPL21P21"	1	0	9	0	0	4
"ENSG00000229280"	"EEF1DP6"	0	1	0	0	0	0
"ENSG00000142655"	"PEX14"	149	227	138	205	172	95
"ENSG00000232596"	"LINC01646"	0	0	0	0	0	0
"ENSG00000231510"	"NA"	0	0	0	0	0	0
"ENSG00000149527"	"PLCH2"	469	884	583	3150	1348	597
"ENSG00000171621"	"SPSB1"	6	9	26	13	20	16
"ENSG00000272235"	"NA"	0	0	2	0	0	0
"ENSG00000284694"	"NA"	1	9	5	0	1	1
"ENSG00000224387"	"NA"	13	19	10	104	22	17
"ENSG00000142583"	"SLC2A5"	2	4	14	14	8	4
"ENSG00000284674"	"LINC02781"	0	0	0	0	0	0
"ENSG00000224338"	"MTCYBP45"	2	3	19	0	1	5
"ENSG00000287727"	"NA"	29	57	63	39	62	41
"ENSG00000173614"	"NMNAT1"	49	80	71	58	100	81
"ENSG00000215720"	"NA"	5	1	7	1	0	0
"ENSG00000241326"	"NA"	0	0	0	0	0	0
"ENSG00000233623"	"PGAM1P11"	8	5	14	8	23	8
"ENSG00000204624"	"DISP3"	170	338	473	448	925	248
"ENSG00000142606"	"MMEL1"	2	0	1	4	6	2
"ENSG00000225931"	"NA"	0	1	4	4	1	0
"ENSG00000171729"	"TMEM51"	7	5	9	11	7	2
"ENSG00000229393"	"NA"	18	26	12	188	43	17
"ENSG00000287586"	"NA"	57	133	131	193	212	145
"ENSG00000227169"	"NA"	0	0	0	0	1	0
"ENSG00000283356"	"NA"	1	0	0	0	0	1
"ENSG00000157916"	"RER1"	154	367	384	373	350	223
"ENSG00000157881"	"PANK4"	123	353	291	478	335	163
"ENSG00000225387"	"NA"	6	1	2	6	2	6
"ENSG00000048707"	"VPS13D"	2066	3602	5009	2505	3465	3216
"ENSG00000225196"	"RPL10P17"	0	0	0	0	0	0
"ENSG00000162444"	"RBP7"	2	1	8	4	2	0
"ENSG00000279625"	"NA"	0	0	0	0	0	0
"ENSG00000180758"	"GPR157"	14	3	12	5	3	6
"ENSG00000184677"	"ZBTB40"	289	577	547	357	374	387
"ENSG00000285833"	"NA"	6	0	2	0	0	3
"ENSG00000131697"	"NPHP4"	540	782	681	2210	1695	880
"ENSG00000280222"	"NA"	229	139	200	283	361	340
"ENSG00000285945"	"NA"	0	18	9	1	0	0
"ENSG00000197921"	"HES5"	0	6	7	4	7	2
"ENSG00000284666"	"NA"	0	1	1	1	0	0
"ENSG00000228943"	"NA"	0	0	0	0	0	0
"ENSG00000234397"	"NA"	0	0	0	0	0	0
"ENSG00000204138"	"PHACTR4"	218	422	473	212	476	381
"ENSG00000233419"	"NA"	0	0	0	1	0	0
"ENSG00000225011"	"NA"	0	0	0	0	0	0
"ENSG00000284676"	"NA"	0	0	0	0	0	0
"ENSG00000090020"	"SLC9A1"	192	371	353	333	363	247
"ENSG00000158006"	"PAFAH2"	21	51	56	17	45	34
"ENSG00000214812"	"NA"	0	0	3	2	2	0
"ENSG00000196581"	"AJAP1"	917	1705	1988	1037	1142	1355
"ENSG00000169403"	"PTAFR"	1	3	5	4	5	2
"ENSG00000171612"	"SLC25A33"	30	30	58	31	47	31
"ENSG00000270927"	"NA"	0	0	0	0	0	0
"ENSG00000188910"	"GJB3"	28	63	45	59	38	51
"ENSG00000230523"	"LINC01756"	2	9	8	6	21	7
"ENSG00000158161"	"EYA3"	414	509	839	293	561	580
"ENSG00000233234"	"NA"	0	0	0	0	0	0
"ENSG00000189337"	"KAZN"	468	755	1018	813	653	567
"ENSG00000028137"	"TNFRSF1B"	0	0	13	8	3	0
"ENSG00000283259"	"NA"	3	47	24	13	11	4
"ENSG00000130939"	"UBE4B"	733	1387	1306	757	1132	1000
"ENSG00000175147"	"TMEM51-AS1"	17	29	75	19	38	31
"ENSG00000127472"	"PLA2G5"	1	0	1	2	0	1
"ENSG00000060656"	"PTPRU"	196	488	412	489	537	284
"ENSG00000230214"	"FTLP18"	0	0	0	0	0	0
"ENSG00000189280"	"GJB5"	8	36	35	12	33	10
"ENSG00000134698"	"AGO4"	470	645	1720	542	783	776
"ENSG00000272420"	"NA"	13	18	27	1	6	6
"ENSG00000273274"	"ZBTB8B"	61	113	205	10	47	18
"ENSG00000236648"	"LINC02810"	0	0	2	1	0	0
"ENSG00000232273"	"NA"	3	7	10	1	3	3
"ENSG00000130940"	"CASZ1"	13	25	16	46	23	18
"ENSG00000163879"	"DNALI1"	113	288	327	97	152	127
"ENSG00000227527"	"NA"	1	5	2	3	3	2
"ENSG00000116954"	"RRAGC"	38	80	98	13	20	17
"ENSG00000163873"	"GRIK3"	788	1131	1089	2056	962	806
"ENSG00000117215"	"PLA2G2D"	0	0	0	0	2	0
"ENSG00000230163"	"NA"	0	0	0	0	0	0
"ENSG00000227538"	"NA"	0	0	0	1	0	0
"ENSG00000044012"	"GUCA2B"	0	0	0	0	0	0
"ENSG00000179051"	"RCC2"	63	224	195	154	227	132
"ENSG00000215895"	"HSPA5P1"	0	2	2	1	1	0
"ENSG00000126067"	"PSMB2"	104	256	277	69	130	114
"ENSG00000274944"	"NA"	0	1	9	0	0	2
"ENSG00000272078"	"NA"	3	6	0	8	0	9
"ENSG00000230451"	"RPS29P6"	0	1	0	1	0	0
"ENSG00000231606"	"NA"	147	186	342	91	244	296
"ENSG00000054118"	"THRAP3"	1718	2233	1916	852	1440	1601
"ENSG00000254553"	"NA"	0	1	4	0	0	3
"ENSG00000284653"	"NA"	1	3	1	9	0	4
