"Gene","Base Mean","log2FC","LFC SE","p-value","FDR","Significant?","Ensembl ID","Symbol","MAP locus","Gene type","Gene description"
"MIR376C",42.363,2.95,0.887,"7.38e-09","8.10e-06","Yes","ENSG00000283279","MIR376C","14q32.31","ncRNA","microRNA 376c"
"LGR6",50.406,2.895,1.126,"5.51e-08","3.11e-05","Yes","ENSG00000133067","LGR6","1q32.1","protein-coding","leucine rich repeat containing G protein-coupled receptor 6"
"ENSG00000224769",33.456,2.536,0.674,"2.15e-09","2.99e-06","Yes","ENSG00000224769",NA,NA,NA,NA
"SNORA40B",322.022,2.347,0.661,"9.14e-09","8.66e-06","Yes","ENSG00000208308","SNORA40B","2q21.3","snoRNA","small nucleolar RNA, H/ACA box 40B"
"MIR299",16.933,2.244,1.053,"8.04e-07"," NA","No","ENSG00000207749","MIR299","14q32.31","ncRNA","microRNA 299"
"ENSG00000305133",157.983,2.128,0.842,"6.37e-07","1.90e-04","Yes","ENSG00000305133",NA,NA,NA,NA
"LINC03066",19.717,2.125,0.982,"1.24e-06","2.77e-04","Yes","ENSG00000263667","LINC03066","6p25.3","ncRNA","long intergenic non-protein coding RNA 3066"
"MIR376B",27.748,2.105,0.94,"1.22e-06","2.77e-04","Yes","ENSG00000283556","MIR376B","14q32.31","ncRNA","microRNA 376b"
"MIR379",24.034,2.103,0.72,"2.45e-07","1.02e-04","Yes","ENSG00000199088","MIR379","14q32.31","ncRNA","microRNA 379"
"MIR27B",30.006,2.082,0.753,"4.24e-07","1.52e-04","Yes","ENSG00000207864","MIR27B","9q22.32","ncRNA","microRNA 27b"
"SNORA37",203.313,2.061,0.713,"3.33e-07","1.31e-04","Yes","ENSG00000207233","SNORA37","18q21.2","snoRNA","small nucleolar RNA, H/ACA box 37"
"ENSG00000289088",64.267,2.035,0.819,"1.05e-06","2.56e-04","Yes","ENSG00000289088",NA,NA,NA,NA
"MIR23B",22.849,1.943,0.765,"1.45e-06","3.01e-04","Yes","ENSG00000207563","MIR23B","9q22.32","ncRNA","microRNA 23b"
"MIR493",21.152,1.844,0.85,"4.37e-06","6.97e-04","Yes","ENSG00000207989","MIR493","14q32.2","ncRNA","microRNA 493"
"MIR758",31.963,1.828,0.706,"2.45e-06","4.73e-04","Yes","ENSG00000211582","MIR758","14q32.31","ncRNA","microRNA 758"
"ENSG00000234156",83.771,1.824,0.456,"4.12e-08","2.61e-05","Yes","ENSG00000234156",NA,NA,NA,NA
"COL22A1",218.185,1.789,0.705,"3.38e-06","5.79e-04","Yes","ENSG00000169436","COL22A1","8q24.23-q24.3","protein-coding","collagen type XXII alpha 1 chain"
"SNORA30",14.827,1.679,0.942,"1.12e-05"," NA","No","ENSG00000206755","SNORA30","16p11.2","snoRNA","small nucleolar RNA, H/ACA box 30"
"ENSG00000250644",80.329,1.674,0.428,"1.90e-07","8.09e-05","Yes","ENSG00000250644",NA,NA,NA,NA
"SNORA23",1052.932,1.664,0.623,"5.85e-06","8.30e-04","Yes","ENSG00000201998","SNORA23","11p15.4","snoRNA","small nucleolar RNA, H/ACA box 23"
"MIR381HG",515.596,1.661,0.482,"9.38e-07","2.42e-04","Yes","ENSG00000223403",NA,NA,NA,NA
"ENSG00000256312",161.671,1.654,0.702,"1.03e-05","1.23e-03","Yes","ENSG00000256312",NA,NA,NA,NA
"HR",274.733,1.628,0.373,"5.00e-08","2.90e-05","Yes","ENSG00000168453","HR","8p21.3","protein-coding","HR lysine demethylase and nuclear receptor corepressor"
"COL28A1",195.672,1.619,0.362,"3.48e-08","2.32e-05","Yes","ENSG00000215018","COL28A1","7p21.3","protein-coding","collagen type XXVIII alpha 1 chain"
"MUC5B",205.287,1.613,0.679,"1.29e-05","1.43e-03","Yes","ENSG00000117983","MUC5B","11p15.5","protein-coding","mucin 5B, oligomeric mucus/gel-forming"
"RN7SL753P",45.551,1.575,0.652,"1.59e-05","1.67e-03","Yes","ENSG00000264275","RN7SL753P","2q33.1","pseudo","RNA, 7SL, cytoplasmic 753, pseudogene"
"LOC101927793",45.331,1.574,0.563,"8.84e-06","1.12e-03","Yes","ENSG00000259881","LOC101927793","16q24.3","ncRNA","uncharacterized LOC101927793"
"SNORA12",873.47,1.573,0.561,"8.79e-06","1.12e-03","Yes","ENSG00000212464","SNORA12","10q24.31","snoRNA","small nucleolar RNA, H/ACA box 12"
"RTL1",259.629,1.546,0.496,"5.49e-06","8.01e-04","Yes","ENSG00000254656","RTL1","14q32.2-q32.31","protein-coding","retrotransposon Gag like 1"
"ENSG00000289477",58.137,1.529,0.577,"1.58e-05","1.66e-03","Yes","ENSG00000289477",NA,NA,NA,NA
"SNORA63D",244.072,1.525,0.615,"2.08e-05","1.99e-03","Yes","ENSG00000201229","SNORA63D","3q27.1","snoRNA","small nucleolar RNA, H/ACA box 63D"
"NPIPA5",53.919,1.511,0.51,"1.02e-05","1.22e-03","Yes","ENSG00000183793","NPIPA5","16p13.11","protein-coding","nuclear pore complex interacting protein family member A5"
"PKD1P3",63.286,1.511,0.603,"2.22e-05","2.09e-03","Yes","ENSG00000183458","PKD1P3","16p13.11","pseudo","polycystin 1, transient receptor potential channel interacting pseudogene 3"
"SNORA74B",701.374,1.507,0.546,"1.54e-05","1.63e-03","Yes","ENSG00000212402","SNORA74B","5q35.1","snoRNA","small nucleolar RNA, H/ACA box 74B"
